,movie_title,director,principal_cast
0,Mission: Impossible II (2000),John Woo,"Dougray Scott, Tom Cruise, Thandie Newton, Ving Rhames"
1,Gladiator (2000),Ridley Scott,"Connie Nielsen, Oliver Reed, Russell Crowe, Joaquin Phoenix"
2,What Women Want (2011),Daming Chen,"Li Yuan, Julian Chen, Andy Lau, Li Gong"
3,Charlie's Angels (2019),Elizabeth Banks,"Naomi Scott, Elizabeth Banks, Kristen Stewart, Ella Balinska"
4,Southpaw (2015),Antoine Fuqua,"Rachel McAdams, Jake Gyllenhaal, Oona Laurence, Forest Whitaker"
5,The Lord of the Rings: The Fellowship of the Ring (2001),Peter Jackson,"Sean Bean, Orlando Bloom, Elijah Wood, Ian McKellen"
6,Shrek (2001),Andrew Adamson,"John Lithgow, Cameron Diaz, Eddie Murphy, Mike Myers"
7,The Mummy Returns (2001),Stephen Sommers,"Brendan Fraser, John Hannah, Rachel Weisz, Arnold Vosloo"
8,Lara Croft: Tomb Raider (2001),Simon West,"Noah Taylor, Jon Voight, Iain Glen, Angelina Jolie"
9,Moulin Rouge! (2001),Baz Luhrmann,"Jim Broadbent, Nicole Kidman, John Leguizamo, Ewan McGregor"
10,The Lord of the Rings: The Two Towers (2002),Peter Jackson,"Orlando Bloom, Elijah Wood, Ian McKellen, Viggo Mortensen"
11,Harry Potter and the Chamber of Secrets (2002),Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris"
12,Spider,Sam Raimi,"Willem Dafoe, Tobey Maguire, James Franco, Kirsten Dunst"
13,Star Wars: Episode II,George Lucas,"Hayden Christensen, Christopher Lee, Ewan McGregor, Natalie Portman"
14,Ice Age (2002),Chris Wedge,"Denis Leary, Ray Romano, Goran Visnjic, John Leguizamo"
15,Catch Me If You Can (2002),Steven Spielberg,"Tom Hanks, Christopher Walken, Leonardo DiCaprio, Martin Sheen"
16,The Bourne Identity (2002),Doug Liman,"Matt Damon, Clive Owen, Chris Cooper, Franka Potente"
17,E.T. the Extra,Steven Spielberg,"Henry Thomas, Peter Coyote, Dee Wallace, Drew Barrymore"
18,Sweet Sixteen (2016),Jin-gyu Cho,"Joo Won, Geng Han, Kris Wu, Shan Lu"
19,The Lord of the Rings: The Return of the King (2003),Peter Jackson,"Orlando Bloom, Elijah Wood, Ian McKellen, Viggo Mortensen"
20,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Gore Verbinski,"Keira Knightley, Orlando Bloom, Johnny Depp, Geoffrey Rush"
21,X2: X,Bryan Singer,"Patrick Stewart, Halle Berry, Ian McKellen, Hugh Jackman"
22,Hulk (2003),Ang Lee,"Eric Bana, Sam Elliott, Jennifer Connelly, Josh Lucas"
23,Master and Commander: The Far Side of the World (2003),Peter Weir,"Paul Bettany, ""James DArcy"", Russell Crowe, Billy Boyd"
24,The Italian Job (2003),F. Gary Gray,"Edward Norton, Charlize Theron, Mark Wahlberg, Donald Sutherland"
25,Johnny English (2003),Peter Howitt,"John Malkovich, Rowan Atkinson, Natalie Imbruglia, Tasha de Vasconcelos"
26,Freddy vs. Jason (2003),Ronny Yu,"Robert Englund, Kelly Rowland, Ken Kirzinger, Monica Keena"
27,The Recruit (2003),Roger Donaldson,"Gabriel Macht, Colin Farrell, Al Pacino, Bridget Moynahan"
28,The Core (2003),Jon Amiel,"Hilary Swank, Aaron Eckhart, Bruce Greenwood, Delroy Lindo"
29,Shrek 2 (2004),Andrew Adamson,"Julie Andrews, Cameron Diaz, Eddie Murphy, Mike Myers"
30,Harry Potter and the Prisoner of Azkaban (2004),Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Richard Griffiths, Emma Watson"
31,Spider,Sam Raimi,"Tobey Maguire, Alfred Molina, James Franco, Kirsten Dunst"
32,The Passion of the Christ (2004),Mel Gibson,"Maia Morgenstern, Christo Jivkov, Monica Bellucci, Jim Caviezel"
33,The Day After Tomorrow (2004),Roland Emmerich,"Dash Mihok, Jake Gyllenhaal, Emmy Rossum, Dennis Quaid"
34,Troy (2004),Wolfgang Petersen,"Eric Bana, Orlando Bloom, Julian Glover, Brad Pitt"
35,Shark Tale (2004),Bibo Bergeron,"Renée Zellweger, Robert De Niro, Will Smith, Angelina Jolie"
36,"I, Robot (2004)",Alex Proyas,"Alan Tudyk, Will Smith, Bruce Greenwood, Bridget Moynahan"
37,National Treasure (2004),Jon Turteltaub,"Sean Bean, Diane Kruger, Nicolas Cage, Justin Bartha"
38,The Bourne Supremacy (2004),Paul Greengrass,"Brian Cox, Matt Damon, Franka Potente, Joan Allen"
39,The Terminal (2004),Steven Spielberg,"Tom Hanks, Chi McBride, Stanley Tucci, Catherine Zeta-Jones"
40,King Arthur (2004),Antoine Fuqua,"Keira Knightley, Stephen Dillane, Clive Owen, Ioan Gruffudd"
41,Garfield (2004),Peter Hewitt,"Jennifer Love Hewitt, Stephen Tobolowsky, Breckin Meyer, Bill Murray"
42,50 First Dates (2004),Peter Segal,"Adam Sandler, Sean Astin, Rob Schneider, Drew Barrymore"
43,Kung Fu Hustle (2004),Stephen Chow,"Qiu Yuen, Stephen Chow, Siu-Lung Leung, Wah Yuen"
44,House of Flying Daggers (2004),Yimou Zhang,"Dandan Song, Takeshi Kaneshiro, Ziyi Zhang, Andy Lau"
45,Anacondas: The Hunt for the Blood Orchid (2004),Dwight H. Little,"Johnny Messner, Morris Chestnut, KaDee Strickland, Eugene Byrd"
46,Taxi (2004),Tim Story,"Henry Simmons, Queen Latifah, Jimmy Fallon, Gisele Bündchen"
47,Two Brothers (2004),Jean-Jacques Annaud,"Guy Pearce, Jean-Claude Dreyfus, Oanh Nguyen, Freddie Highmore"
48,Wimbledon (2004),Richard Loncraine,"Paul Bettany, Jon Favreau, Sam Neill, Kirsten Dunst"
49,Flight of the Phoenix (2004),John Moore,"Giovanni Ribisi, Tyrese Gibson, Miranda Otto, Dennis Quaid"
50,Thunderbirds (2004),Jonathan Frakes,"Anthony Edwards, Ben Kingsley, Bill Paxton, Brady Corbet"
51,Criminal (2016),Ariel Vromen,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman"
52,Youth (2017),Xiaogang Feng,"Miao Miao, Elane Zhong, Caiyu Yang, Xuan Huang"
53,Godzilla (2014),Gareth Edwards,"Bryan Cranston, Ken Watanabe, Elizabeth Olsen, Aaron Taylor-Johnson"
54,The Take (2016),James Watkins,"Idris Elba, Richard Madden, Kelly Reilly, Charlotte Le Bon"
55,Harry Potter and the Goblet of Fire (2005),Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Eric Sykes"
56,Star Wars: Episode III,George Lucas,"Samuel L. Jackson, Hayden Christensen, Ewan McGregor, Natalie Portman"
57,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",Andrew Adamson,"Georgie Henley, Tilda Swinton, Skandar Keynes, William Moseley"
58,War of the Worlds (2005),Steven Spielberg,"Tim Robbins, Dakota Fanning, Miranda Otto, Tom Cruise"
59,King Kong (2005),Peter Jackson,"Adrien Brody, Naomi Watts, Thomas Kretschmann, Jack Black"
60,Madagascar (2005),Eric Darnell,"Jada Pinkett Smith, David Schwimmer, Ben Stiller, Chris Rock"
61,Mr. & Mrs. Smith (2005),Doug Liman,"Vince Vaughn, Adam Brody, Brad Pitt, Angelina Jolie"
62,Mission: Impossible III (2006),J.J. Abrams,"Michelle Monaghan, Tom Cruise, Philip Seymour Hoffman, Ving Rhames"
63,Batman Begins (2005),Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Ken Watanabe"
64,The Island (2018),Bo Huang,"Baoqiang Wang, Yixing Zhang, Qi Shu, Bo Huang"
65,The Interpreter (2005),Sydney Pollack,"Sean Penn, Nicole Kidman, Catherine Keener, Jesper Christensen"
66,The Legend of Zorro (2005),Martin Campbell,"Rufus Sewell, Catherine Zeta-Jones, Alberto Reyes, Antonio Banderas"
67,Racing Stripes (2005),Frederik Du Chau,"Frankie Muniz, Snoop Dogg, Bruce Greenwood, David Spade"
68,Transporter 2 (2005),Louis Leterrier,"Alessandro Gassmann, Kate Nauta, Amber Valletta, Jason Statham"
69,Stealth (2005),Rob Cohen,"Jessica Biel, Jamie Foxx, Josh Lucas, Sam Shepard"
70,xXx: State of the Union (2005),Lee Tamahori,"Ice Cube, Samuel L. Jackson, Willem Dafoe, Scott Speedman"
71,Serenity (2019),Steven Knight,"Anne Hathaway, Diane Lane, Matthew McConaughey, Jason Clarke"
72,Nine Lives (2016),Barry Sonnenfeld,"Jennifer Garner, Cheryl Hines, Robbie Amell, Kevin Spacey"
73,Venom (2018),Ruben Fleischer,"Riz Ahmed, Tom Hardy, Michelle Williams, Scott Haze"
74,Dear Wendy (2005),Thomas Vinterberg,"Bill Pullman, Alison Pill, Jamie Bell, Chris Owen"
75,The Da Vinci Code (2006),Ron Howard,"Tom Hanks, Jean Reno, Audrey Tautou, Ian McKellen"
76,Ice Age: The Meltdown (2006),Carlos Saldanha,"Seann William Scott, Denis Leary, Ray Romano, John Leguizamo"
77,Casino Royale (2006),Martin Campbell,"Eva Green, Judi Dench, Daniel Craig, Jeffrey Wright"
78,Night at the Museum (2006),Shawn Levy,"Ricky Gervais, Carla Gugino, Ben Stiller, Dick Van Dyke"
79,X,Brett Ratner,"Famke Janssen, Patrick Stewart, Halle Berry, Hugh Jackman"
80,Superman Returns (2006),Bryan Singer,"Brandon Routh, Kate Bosworth, James Marsden, Kevin Spacey"
81,Happy Feet (2006),George Miller,"Robin Williams, Brittany Murphy, Elijah Wood, Hugh Jackman"
82,The Devil Wears Prada (2006),David Frankel,"Anne Hathaway, Emily Blunt, Meryl Streep, Adrian Grenier"
83,The Pursuit of Happyness (2006),Gabriele Muccino,"Brian Howe, Will Smith, Thandie Newton, Jaden Smith"
84,Eragon (2006),Stefen Fangmeier,"John Malkovich, Ed Speleers, Jeremy Irons, Sienna Guillory"
85,Click (2006),Frank Coraci,"Christopher Walken, Adam Sandler, Kate Beckinsale, David Hasselhoff"
86,Open Season (2006),Roger Allers,"Ashton Kutcher, Gary Sinise, Martin Lawrence, Debra Messing"
87,Poseidon (2006),Wolfgang Petersen,"Kurt Russell, Josh Lucas, Richard Dreyfuss, Emmy Rossum"
88,Deja Vu (2006),Tony Scott,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer"
89,Miami Vice (2006),Michael Mann,"Colin Farrell, Jamie Foxx, Naomie Harris, Li Gong"
90,World Trade Center (2006),Oliver Stone,"Maria Bello, Maggie Gyllenhaal, Michael Peña, Nicolas Cage"
91,Garfield: A Tail of Two Kitties (2006),Tim Hill,"Jennifer Love Hewitt, Breckin Meyer, Bill Murray, Billy Connolly"
92,Babel (2006),Alejandro G. Iñárritu,"Mohamed Akhzam, Cate Blanchett, Brad Pitt, Gael García Bernal"
93,Eight Below (2006),Frank Marshall,"Jason Biggs, Bruce Greenwood, Moon Bloodgood, Paul Walker"
94,Step Up (2006),Anne Fletcher,"Damaine Radcliff, Channing Tatum, Jenna Dewan, ""DeShawn Washington"""
95,Arthur and the Invisibles (2006),Luc Besson,"Madonna, Mia Farrow, Freddie Highmore, Ron Crawford"
96,The Guardian (2006),Andrew Davis,"Kevin Costner, Melissa Sagemiller, Sela Ward, Ashton Kutcher"
97,Firewall (2006),Richard Loncraine,"Paul Bettany, Carly Schroeder, Harrison Ford, Virginia Madsen"
98,The Sentinel (2006),Clark Johnson,"Michael Douglas, Eva Longoria, Kiefer Sutherland, Kim Basinger"
99,Curse of the Golden Flower (2006),Yimou Zhang,"Jay Chou, Ye Liu, Yun-Fat Chow, Li Gong"
100,When a Stranger Calls (2006),Simon West,"Camilla Belle, Tommy Flanagan, Tessa Thompson, Katie Cassidy"
101,16 Blocks (2006),Richard Donner,"Jenna Stern, David Morse, Bruce Willis, Yasiin Bey"
102,The Valet (2006),Francis Veber,"Gad Elmaleh, Daniel Auteuil, Kristin Scott Thomas, Alice Taglioni"
103,Tristan & Isolde (2006),Kevin Reynolds,"""David OHara"", Rufus Sewell, Sophia Myles, James Franco"
104,The Painted Veil (2006),John Curran,"Edward Norton, Naomi Watts, Liev Schreiber, Catherine An"
105,Black Book (2006),Paul Verhoeven,"Thom Hoffman, Carice van Houten, Sebastian Koch, Halina Reijn"
106,Alex Rider: Operation Stormbreaker (2006),Geoffrey Sax,"Alex Pettyfer, Sophie Okonedo, Sarah Bolger, Mickey Rourke"
107,Days of Glory (2006),Rachid Bouchareb,"Sami Bouajila, Samy Naceri, Roschdy Zem, Jamel Debbouze"
108,Bandidas (2006),Joachim Rønning,"Penélope Cruz, Salma Hayek, Dwight Yoakam, Steve Zahn"
109,Flyboys (2006),Tony Bill,"Jennifer Decker, Scott Hazell, Jean Reno, James Franco"
110,DOA: Dead or Alive (2006),Corey Yuen,"Jaime Pressly, Holly Valance, Devon Aoki, Sarah Carter"
111,Stolen (2012),Simon West,"Malin Akerman, Josh Lucas, Nicolas Cage, Danny Huston"
112,Abominable (2019),Jill Culton,"Joseph Izzo, Tenzing Norgay Trainor, Chloe Bennet, Albert Tsai"
113,Pirates of the Caribbean: At World's End (2007),Gore Verbinski,"Keira Knightley, Orlando Bloom, Johnny Depp, Geoffrey Rush"
114,Harry Potter and the Order of the Phoenix (2007),David Yates,"Daniel Radcliffe, Rupert Grint, Brendan Gleeson, Emma Watson"
115,Spider,Sam Raimi,"Tobey Maguire, Topher Grace, Thomas Haden Church, Kirsten Dunst"
116,Shrek the Third (2007),Chris Miller,"Antonio Banderas, Cameron Diaz, Eddie Murphy, Mike Myers"
117,Transformers (2007),Michael Bay,"Shia LaBeouf, Josh Duhamel, Tyrese Gibson, Megan Fox"
118,Ratatouille (2007),Brad Bird,"Ian Holm, Patton Oswalt, Lou Romano, Brad Garrett"
119,National Treasure: Book of Secrets (2007),Jon Turteltaub,"Jon Voight, Diane Kruger, Nicolas Cage, Justin Bartha"
120,The Bourne Ultimatum (2007),Paul Greengrass,"Julia Stiles, Matt Damon, Edgar Ramírez, Joan Allen"
121,Live Free or Die Hard (2007),Len Wiseman,"Timothy Olyphant, Bruce Willis, Maggie Q, Justin Long"
122,The Golden Compass (2007),Chris Weitz,"Ben Walker, Nicole Kidman, Dakota Blue Richards, Daniel Craig"
123,Mr. Bean's Holiday (2007),Steve Bendelack,"Rowan Atkinson, Lily Atkinson, Willem Dafoe, Steve Pemberton"
124,Ghost Rider (2007),Mark Steven Johnson,"Matt Long, Sam Elliott, Eva Mendes, Nicolas Cage"
125,Bridge to Terabithia (2007),Gabor Csupo,"Zooey Deschanel, Josh Hutcherson, AnnaSophia Robb, Robert Patrick"
126,Atonement (2007),Joe Wright,"Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan"
127,The Water Horse (2007),Jay Russell,"Emily Watson, Bruce Allpress, David Morrissey, Alex Etel"
128,TMNT (2007),Kevin Munroe,"Patrick Stewart, Mako, Chris Evans, Sarah Michelle Gellar"
129,Shooter (2007),Antoine Fuqua,"Mark Wahlberg, Rhona Mitra, Michael Peña, Danny Glover"
130,No Reservations (2007),Scott Hicks,"Patricia Clarkson, Abigail Breslin, Aaron Eckhart, Catherine Zeta-Jones"
131,Next (2007),Lee Tamahori,"Julianne Moore, Jessica Biel, Thomas Kretschmann, Nicolas Cage"
132,Dragon Wars: D,Hyung-rae Shim,"Robert Forster, Jason Behr, Craig Robinson, Amanda Brooks"
133,"Lust, Caution (2007)",Ang Lee,"Joan Chen, Leehom Wang, Wei Tang, Tony Chiu-Wai Leung"
134,August Rush (2007),Kirsten Sheridan,"Keri Russell, Jonathan Rhys Meyers, Freddie Highmore, Terrence Howard"
135,The Warlords (2007),Peter Ho-Sun Chan,"Andy Lau, Jet Li, Takeshi Kaneshiro, Jinglei Xu"
136,Becoming Jane (2007),Julian Jarrold,"Julie Walters, Anne Hathaway, James McAvoy, James Cromwell"
137,My Blueberry Nights (2007),Kar-Wai Wong,"Jude Law, Chad R. Davis, Norah Jones, Natalie Portman"
138,Flash Point (2007),Wilson Yip,"Donnie Yen, Louis Koo, Ray Lui, Collin Chou"
139,Tuya's Marriage (2006),Quan'an Wang,"""Batoer"", Nan Yu, ""Senge"", ""Baolier"""
140,Mad Detective (2007),Johnnie To,"Ching Wan Lau, Andy On, Ka Tung Lam, Kelly Lin"
141,Nanking (2007),Bill Guttentag,"Hugo Armstrong, John Getz, Stephen Dorff, Rosalind Chao"
142,Lost in Beijing (2007),Yu Li,"Dawei Tong, Elaine Jin, Tony Ka Fai Leung, Bingbing Fan"
143,Kung Fu Panda (2008),Mark Osborne,"Dustin Hoffman, Jack Black, Ian McShane, Angelina Jolie"
144,Hancock (2008),Peter Berg,"Charlize Theron, Will Smith, Jae Head, Jason Bateman"
145,Madagascar: Escape 2 Africa (2008),Eric Darnell,"Jada Pinkett Smith, David Schwimmer, Ben Stiller, Chris Rock"
146,Quantum of Solace (2008),Marc Forster,"Olga Kurylenko, Judi Dench, Mathieu Amalric, Daniel Craig"
147,Iron Man (2008),Jon Favreau,"Gwyneth Paltrow, Jeff Bridges, Robert Downey Jr., Terrence Howard"
148,The Chronicles of Narnia: Prince Caspian (2008),Andrew Adamson,"Ben Barnes, Skandar Keynes, William Moseley, Georgie Henley"
149,The Mummy: Tomb of the Dragon Emperor (2008),Rob Cohen,"Brendan Fraser, Maria Bello, Jet Li, Michelle Yeoh"
150,Slumdog Millionaire (2008),Danny Boyle,"Anil Kapoor, Dev Patel, Saurabh Shukla, Freida Pinto"
151,Bolt (2008),Byron Howard,"John Travolta, Mark Walton, Miley Cyrus, Susie Essman"
152,"10,000 BC (2008)",Roland Emmerich,"Camilla Belle, Steven Strait, Cliff Curtis, Marco Khan"
153,The Incredible Hulk (2008),Louis Leterrier,"Edward Norton, William Hurt, Liv Tyler, Tim Roth"
154,Journey to the Center of the Earth (2008),Eric Brevig,"Brendan Fraser, Anita Briem, Josh Hutcherson, Seth Meyers"
155,Taken (2008),Pierre Morel,"Maggie Grace, Leland Orser, Famke Janssen, Liam Neeson"
156,Australia (2008),Baz Luhrmann,"Nicole Kidman, Eddie Baroo, Shea Adams, Hugh Jackman"
157,Valkyrie (2008),Bryan Singer,"Kenneth Branagh, Bill Nighy, Carice van Houten, Tom Cruise"
158,Hellboy II: The Golden Army (2008),Guillermo del Toro,"Selma Blair, John Alexander, Ron Perlman, Doug Jones"
159,The Spiderwick Chronicles (2008),Mark Waters,"Sarah Bolger, Mary-Louise Parker, Freddie Highmore, David Strathairn"
160,27 Dresses (2008),Anne Fletcher,"Brian Kerwin, Malin Akerman, Katherine Heigl, James Marsden"
161,Step Up 2: The Streets (2008),Jon M. Chu,"Adam Sevani, Cassie Ventura, Robert Hoffman, Briana Evigan"
162,Red Cliff (2008),John Woo,"Takeshi Kaneshiro, Chen Chang, Tony Chiu-Wai Leung, Fengyi Zhang"
163,The Forbidden Kingdom (2008),Rob Minkoff,"Michael Angarano, Jackie Chan, Jet Li, Juana Collignon"
164,Fool's Gold (2008),Andy Tennant,"Alexis Dziena, Kate Hudson, Matthew McConaughey, Donald Sutherland"
165,Transporter 3 (2008),Olivier Megaton,"Natalya Rudakova, Robert Knepper, François Berléand, Jason Statham"
166,Speed Racer (2008),Lana Wachowski,"Nicholas Elia, Matthew Fox, Christina Ricci, Emile Hirsch"
167,Babylon A.D. (2008),Mathieu Kassovitz,"Michelle Yeoh, Mélanie Thierry, Gérard Depardieu, Vin Diesel"
168,CJ7 (2008),Stephen Chow,"Jiao Xu, Stephen Chow, Yuqi Zhang, Lei Huang"
169,My Mom's New Boyfriend (2008),George Gallo,"Selma Blair, Meg Ryan, Colin Hanks, Antonio Banderas"
170,The Children of Huang Shi (2008),Roger Spottiswoode,"Jonathan Rhys Meyers, Michelle Yeoh, Yun-Fat Chow, Radha Mitchell"
171,Passengers (2016),Morten Tyldum,"Michael Sheen, Jennifer Lawrence, Chris Pratt, Laurence Fishburne"
172,Ashes of Time (1994),Kar-Wai Wong,"Maggie Cheung, Leslie Cheung, Tony Chiu-Wai Leung, Brigitte Lin"
173,Avatar (2009),James Cameron,"Michelle Rodriguez, Zoe Saldana, Sigourney Weaver, Sam Worthington"
174,Transformers: Revenge of the Fallen (2009),Michael Bay,"Shia LaBeouf, Josh Duhamel, Tyrese Gibson, Megan Fox"
175,2012 (2009),Roland Emmerich,"Amanda Peet, Chiwetel Ejiofor, Thandie Newton, John Cusack"
176,Star Trek (2009),J.J. Abrams,"Chris Pine, Leonard Nimoy, Simon Pegg, Zachary Quinto"
177,Dragonball Evolution (2009),James Wong,"James Marsters, Emmy Rossum, Justin Chatwin, Yun-Fat Chow"
178,Battle for Terra (2007),Aristomenis Tsirbas,"Chad Allen, Evan Rachel Wood, Justin Long, Luke Wilson"
179,24 City (2008),Zhangke Jia,"Liping Lü, Tao Zhao, Jianbin Chen, Joan Chen"
180,Home (2015),Tim Johnson,"Steve Martin, Jennifer Lopez, Rihanna, Jim Parsons"
181,Harry Potter and the Deathly Hallows: Part 1 (2010),David Yates,"Daniel Radcliffe, Rupert Grint, Bill Nighy, Emma Watson"
182,Inception (2010),Christopher Nolan,"Joseph Gordon-Levitt, Ken Watanabe, Leonardo DiCaprio, Ellen Page"
183,Shrek Forever After (2010),Mike Mitchell,"Antonio Banderas, Cameron Diaz, Eddie Murphy, Mike Myers"
184,Iron Man 2 (2010),Jon Favreau,"Gwyneth Paltrow, Robert Downey Jr., Don Cheadle, Mickey Rourke"
185,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),Michael Apted,"Ben Barnes, Skandar Keynes, Will Poulter, Georgie Henley"
186,TRON: Legacy (2010),Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Bruce Boxleitner, Olivia Wilde"
187,Robin Hood (2018),Otto Bathurst,"Ben Mendelsohn, Jamie Foxx, Taron Egerton, Eve Hewson"
188,The Last Airbender (2010),M. Night Shyamalan,"Jackson Rathbone, Nicola Peltz, Noah Ringer, Dev Patel"
189,Resident Evil: Afterlife (2010),Paul W.S. Anderson,"Wentworth Miller, Ali Larter, Kim Coates, Milla Jovovich"
190,The Tourist (2010),Florian Henckel von Donnersmarck,"Paul Bettany, Timothy Dalton, Johnny Depp, Angelina Jolie"
191,The Expendables (2010),Sylvester Stallone,"Sylvester Stallone, Dolph Lundgren, Jet Li, Jason Statham"
192,Knight and Day (2010),James Mangold,"Peter Sarsgaard, Jordi Mollà, Cameron Diaz, Tom Cruise"
193,The Sorcerer's Apprentice (2010),Jon Turteltaub,"Alfred Molina, Teresa Palmer, Jay Baruchel, Nicolas Cage"
194,Legend of the Guardians: The Owls of Ga'Hoole (2010),Zack Snyder,"David Wenham, Jim Sturgess, Hugo Weaving, Emily Barclay"
195,Wall Street: Money Never Sleeps (2010),Oliver Stone,"Shia LaBeouf, Carey Mulligan, Josh Brolin, Michael Douglas"
196,Let the Bullets Fly (2010),Wen Jiang,"Carina Lau, Wen Jiang, Yun-Fat Chow, You Ge"
197,If You Are the One 2 (2010),Xiaogang Feng,"Chen Yao, Qi Shu, Honglei Sun, You Ge"
198,Detective Dee: Mystery of the Phantom Flame (2010),Hark Tsui,"Carina Lau, Bingbing Li, Tony Ka Fai Leung, Chao Deng"
199,Alpha and Omega (2010),Anthony Bell,"Justin Long, Dennis Hopper, Christina Ricci, Hayden Panettiere"
200,Avatar (2009),James Cameron,"Michelle Rodriguez, Zoe Saldana, Sigourney Weaver, Sam Worthington"
201,Sacrifice (2010),Kaige Chen,"Xiaoming Huang, Xueqi Wang, Bingbing Fan, You Ge"
202,Legend of the Fist: The Return of Chen Zhen (2010),Andrew Lau,"Anthony Chau-Sang Wong, Qi Shu, Donnie Yen, Alex Ahlstrom"
203,Heartbreaker (2010),Pascal Chaumeil,"Romain Duris, Vanessa Paradis, François Damiens, Julie Ferrier"
204,Frozen (2013),Chris Buck,"Josh Gad, Jonathan Groff, Idina Menzel, Kristen Bell"
205,Only the Brave (2017),Joseph Kosinski,"Miles Teller, Jeff Bridges, Josh Brolin, Jennifer Connelly"
206,Logan (2017),James Mangold,"Dafne Keen, Patrick Stewart, Boyd Holbrook, Hugh Jackman"
