,movie_title,director,principal_cast
415,Jupiter Ascending (2015),Lana Wachowski,"Eddie Redmayne, Channing Tatum, Sean Bean, Mila Kunis"
416,Ip Man 3 (2015),Wilson Yip,"Jin Zhang, Lynn Xiong, Donnie Yen, Mike Tyson"
417,Gods of Egypt (2016),Alex Proyas,"Nikolaj Coster-Waldau, Brenton Thwaites, Gerard Butler, Chadwick Boseman"
418,The Last Witch Hunter (2015),Breck Eisner,"Rose Leslie, Ólafur Darri Ólafsson, Elijah Wood, Vin Diesel"
419,Mr. Six (2015),Hu Guan,"Qing Xu, Kris Wu, Xiaogang Feng, Hanyu Zhang"
420,Point Break (2015),Ericson Core,"Luke Bracey, Teresa Palmer, Edgar Ramírez, Ray Winstone"
421,Pan (2015),Joe Wright,"Rooney Mara, Garrett Hedlund, Levi Miller, Hugh Jackman"
422,Detective Chinatown (2015),Sicheng Chen,"Baoqiang Wang, Liya Tong, He Chen, Haoran Liu"
423,Wolf Totem (2015),Jean-Jacques Annaud,"Shawn Dou, Ankhnyam Ragchaa, Shaofeng Feng, Zhusheng Yin"
424,Dragon Blade (2015),Daniel Lee,"Adrien Brody, Jackie Chan, Si Won Choi, John Cusack"
425,Shaun the Sheep Movie (2015),Mark Burton,"John Sparkes, Richard Webber, Justin Fletcher, Omid Djalili"
426,Chappie (2015),Neill Blomkamp,"Dev Patel, Hugh Jackman, Sigourney Weaver, Sharlto Copley"
427,Devil and Angel (2015),Chao Deng,"Lele Dai, Li Sun, Chao Deng, Chao Liang"
428,The Little Prince (2015),Mark Osborne,"Jeff Bridges, Marion Cotillard, Rachel McAdams, Mackenzie Foy"
429,Assassination (2015),Dong-hoon Choi,"Ji-Hyun Jun, Dal-su Oh, Jung-jae Lee, Jung-woo Ha"
430,Kill Zone 2 (2015),Soi Cheang,"Jin Zhang, Tony Jaa, Simon Yam, Jing Wu"
431,Go Away Mr. Tumor (2015),Yan Han,"Yuan Li, Baihe Bai, Zi-Xuan Zhang, Daniel Wu"
432,The Transporter Refueled (2015),Camille Delamarre,"Loan Chabanol, Lenn Kudrjawizki, Ray Stevenson, Ed Skrein"
433,Running Man (2015),Junyi Ceng,"Angelababy, Chen Li, Baoqiang Wang, He Chen"
434,Zhongkui: Snow Girl and the Dark Crystal (2015),Peter Pau,"Bingbing Li, Zishan Yang, Winston Chao, Kun Chen"
435,"Dragon Ball Z: Resurrection ""F"" (2015)",Tadayoshi Yamamuro,"Hiromi Tsuru, Ryô Horikawa, Masako Nozawa, Masaharu Satô"
436,Forever Young (2015),Jiong He,"Yifeng Li, Huiwen Zhang, Yuxi Zhang, Jinfu Jiang"
437,Miss Granny (2015),Leste Chen,"Zishan Yang, Han Lu, Ah-Lei Gua, Bo-lin Chen"
438,Surprise (2015),Xiaoxing Yi,"Bai-Ke, Zishan Yang, Tianyu Ma, Bo-lin Chen"
439,Mortdecai (2015),David Koepp,"Gwyneth Paltrow, Olivia Munn, Johnny Depp, Ewan McGregor"
440,Let's Get Married (2015),Jiang Liu,"Ivy Yi-Han Chen, Zuo Da, Wu Jiang, Yuanyuan Gao"
441,Somewhere Only We Know (2015),Jinglei Xu,"Likun Wang, Jinglei Xu, Kris Wu, Gordon Alexander"
442,Boruto: Naruto The Movie (2015),Hiroyuki Yamashita,"Kokoro Kikuchi, Ryûichi Kijima, Junko Takeuchi, Yûko Sanpei"
443,Lost and Love (2015),Sanyuan Peng,"Sandra Kwan Yue Ng, Andy Lau, Tony Ka Fai Leung, Boran Jing"
444,Self/less (2015),Tarsem Singh,"Ryan Reynolds, Ben Kingsley, Matthew Goode, Natalie Martinez"
445,Saving Mr. Wu (2015),Sheng Ding,"Andy Lau, Qianyuan Wang, Ruofu Wu, Ye Liu"
446,The 33 (2015),Patricia Riggen,"Juliette Binoche, James Brolin, Rodrigo Santoro, Antonio Banderas"
447,American Ultra (2015),Nima Nourizadeh,"John Leguizamo, Jesse Eisenberg, Kristen Stewart, Connie Britton"
448,Wild City (2015),Ringo Lam,"Hsiao-chuan Chang, Liya Tong, Louis Koo, Shawn Yue"
449,Solace (2015),Afonso Poyart,"Colin Farrell, Abbie Cornish, Anthony Hopkins, Jeffrey Dean Morgan"
450,The Assassin (2015),Hsiao-Hsien Hou,"Satoshi Tsumabuki, Yun Zhou, Qi Shu, Chen Chang"
451,Only You (2015),Hao Zhang,"Silvia Bottini, Yan Su, Wei Tang, Fan Liao"
452,The Office (2015),Johnnie To,"Sylvia Chang, Eason Chan, Yun-Fat Chow, Wei Tang"
453,The Ark of Mr Chow (2015),Yang Xiao,"Yuexin Wang, Dongyu Zhou, Honglei Sun, Zijian Dong"
454,A Journey Through Time with Antony (2015),Janet Chun,"Chang Liu, Lisa Lu, Baihe Bai, Yixin Tang"
455,Sheng zhe wei wang (2015),Luo Luo,"Eddie Peng, Shih-Chieh King, Qi Shu, Hong Pan"
456,Absolutely Anything (2015),Terry Jones,"Rob Riggle, Kate Beckinsale, Sanjeev Bhaskar, Simon Pegg"
457,Mountains May Depart (2015),Zhangke Jia,"Yi Zhang, Tao Zhao, Jing Dong Liang, Zijian Dong"
458,A Fool (2014),Jianbin Chen,"Xuebing Wang, Jianbin Chen, Kim Scar, Qinqin Jiang"
459,Life (2017),Daniel Espinosa,"Hiroyuki Sanada, Ryan Reynolds, Jake Gyllenhaal, Rebecca Ferguson"
460,Moana (2016),Ron Clements,"Temuera Morrison, Rachel House, ""Aulii Cravalho"", Dwayne Johnson"
461,Captain America: Civil War (2016),Anthony Russo,"Scarlett Johansson, Robert Downey Jr., Chris Evans, Sebastian Stan"
462,Rogue One: A Star Wars Story (2016),Gareth Edwards,"Diego Luna, Alan Tudyk, Donnie Yen, Felicity Jones"
463,Finding Dory (2016),Andrew Stanton,"Kaitlin Olson, Albert Brooks, Ellen DeGeneres, ""Ed ONeill"""
464,Zootopia (2016),Byron Howard,"Jenny Slate, Ginnifer Goodwin, Idris Elba, Jason Bateman"
465,The Jungle Book (2016),Jon Favreau,"Neel Sethi, Ben Kingsley, Bill Murray, Idris Elba"
466,The Secret Life of Pets (2016),Chris Renaud,"Eric Stonestreet, Kevin Hart, Louis C.K., Lake Bell"
467,Batman v Superman: Dawn of Justice (2016),Zack Snyder,"Ben Affleck, Amy Adams, Jesse Eisenberg, Henry Cavill"
468,Fantastic Beasts and Where to Find Them (2016),David Yates,"Katherine Waterston, Eddie Redmayne, Dan Fogler, Alison Sudol"
469,Doctor Strange (2016),Scott Derrickson,"Rachel McAdams, Benedict Wong, Benedict Cumberbatch, Chiwetel Ejiofor"
470,Sing (2016),Garth Jennings,"Scarlett Johansson, Matthew McConaughey, Seth MacFarlane, Reese Witherspoon"
471,The Mermaid (2016),Stephen Chow,"Yun Lin, Chao Deng, Yuqi Zhang, Show Lo"
472,X,Bryan Singer,"Jennifer Lawrence, Nicholas Hoult, James McAvoy, Michael Fassbender"
473,Kung Fu Panda 3 (2016),Alessandro Carloni,"Bryan Cranston, Jack Black, Angelina Jolie, Dustin Hoffman"
474,La La Land (2016),Damien Chazelle,"Ryan Gosling, J.K. Simmons, Emma Stone, Rosemarie DeWitt"
475,Warcraft (2016),Duncan Jones,"Dominic Cooper, Paula Patton, Travis Fimmel, Ben Foster"
476,Jason Bourne (2016),Paul Greengrass,"Alicia Vikander, Matt Damon, Tommy Lee Jones, Vincent Cassel"
477,Ice Age: Collision Course (2016),Mike Thurmeier,"Denis Leary, Ray Romano, John Leguizamo, Chris Wedge"
478,Independence Day: Resurgence (2016),Roland Emmerich,"Maika Monroe, Bill Pullman, Jeff Goldblum, Liam Hemsworth"
479,Your Name. (2016),Makoto Shinkai,"Mone Kamishiraishi, Ryô Narita, Ryûnosuke Kamiki, Aoi Yûki"
480,The Legend of Tarzan (2016),David Yates,"Rory J. Saper, Christian Stevens, Alexander Skarsgård, Christoph Waltz"
481,The Angry Birds Movie (2016),Clay Kaytis,"Josh Gad, Jason Sudeikis, Danny McBride, Maya Rudolph"
482,Trolls (2016),Mike Mitchell,"Zooey Deschanel, Christopher Mintz-Plasse, Anna Kendrick, Justin Timberlake"
483,Star Trek Beyond (2016),Justin Lin,"Chris Pine, Karl Urban, Zoe Saldana, Zachary Quinto"
484,The Great Wall (2016),Yimou Zhang,"Willem Dafoe, Tian Jing, Matt Damon, Andy Lau"
485,Now You See Me 2 (2016),Jon M. Chu,"Dave Franco, Jesse Eisenberg, Mark Ruffalo, Woody Harrelson"
486,Resident Evil: The Final Chapter (2016),Paul W.S. Anderson,"Ali Larter, Shawn Roberts, Milla Jovovich, Iain Glen"
487,Dangal (2016),Nitesh Tiwari,"Sanya Malhotra, Sakshi Tanwar, Aamir Khan, Fatima Sana Shaikh"
488,Alice Through the Looking Glass (2016),James Bobin,"Anne Hathaway, Helena Bonham Carter, Mia Wasikowska, Johnny Depp"
489,Miss Peregrine's Home for Peculiar Children (2016),Tim Burton,"Samuel L. Jackson, Judi Dench, Asa Butterfield, Eva Green"
490,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Dave Green,"Will Arnett, Laura Linney, Tyler Perry, Megan Fox"
491,Sully (2016),Clint Eastwood,"Tom Hanks, Laura Linney, Aaron Eckhart, Valerie Mahaffey"
492,Assassin's Creed (2016),Justin Kurzel,"Brendan Gleeson, Jeremy Irons, Marion Cotillard, Michael Fassbender"
493,Inferno (2016),Ron Howard,"Tom Hanks, Irrfan Khan, Felicity Jones, Ben Foster"
494,Bridget Jones's Baby (2016),Sharon Maguire,"Renée Zellweger, Jim Broadbent, Sally Phillips, Gemma Jones"
495,London Has Fallen (2016),Babak Najafi,"Angela Bassett, Aaron Eckhart, Gerard Butler, Morgan Freeman"
496,Arrival (2016),Denis Villeneuve,"Amy Adams, Michael Stuhlbarg, Jeremy Renner, Forest Whitaker"
497,The BFG (2016),Steven Spielberg,"Mark Rylance, Ruby Barnhill, Jemaine Clement, Penelope Wilton"
498,The Monkey King 2 (2016),Soi Cheang,"Shenyang Xiao, Aaron Kwok, Shaofeng Feng, Li Gong"
499,Storks (2016),Nicholas Stoller,"Kelsey Grammer, Andy Samberg, Jennifer Aniston, Katie Crown"
500,Hacksaw Ridge (2016),Mel Gibson,"Luke Bracey, Teresa Palmer, Sam Worthington, Andrew Garfield"
501,Allegiant (2016),Robert Schwentke,"Theo James, Shailene Woodley, Naomi Watts, Jeff Daniels"
502,Operation Mekong (2016),Dante Lam,"Eddie Peng, Hanyu Zhang, Baoguo Chen, Chun Sun"
503,The Huntsman: Winter's War (2016),Cedric Nicolas-Troyan,"Chris Hemsworth, Emily Blunt, Charlize Theron, Jessica Chastain"
504,Jack Reacher: Never Go Back (2016),Edward Zwick,"Robert Knepper, Aldis Hodge, Tom Cruise, Cobie Smulders"
505,Lion (2016),Garth Davis,"Rooney Mara, Dev Patel, Nicole Kidman, Sunny Pawar"
506,Mechanic: Resurrection (2016),Dennis Gansel,"Jessica Alba, Tommy Lee Jones, Jason Statham, Michelle Yeoh"
507,Deepwater Horizon (2016),Peter Berg,"Kurt Russell, Mark Wahlberg, Douglas M. Griffin, James DuMont"
508,Allied (2016),Robert Zemeckis,"Jared Harris, Vincent Ebrahim, Marion Cotillard, Brad Pitt"
509,I Belonged to You (2016),Yibai Zhang,"""Tianai Zhang"", Chao Deng, Baihe Bai, Yang Yang"
510,The Shallows (2016),Jaume Collet-Serra,"Blake Lively, Joseph Salas, Angelo Josue Lozano Corzo, Óscar Jaenada"
511,Finding Mr Right 2 (2016),Xiaolu Xue,"Xiubo Wu, Paul Chun, Zhihong Liu, Wei Tang"
512,Cold War II (2016),Lok Man Leung,"Tony Ka Fai Leung, Aaron Kwok, Yun-Fat Chow, Charlie Yeung"
513,Railroad Tigers (2016),Sheng Ding,"Kai Wang, Jackie Chan, Zitao Huang, Jaycee Chan"
514,Some Like It Hot (2016),Xiaofei Song,"Shenyang Xiao, Xiao Yang, Ni Yan, Shan Qiao"
515,Ben,Timur Bekmambetov,"Nazanin Boniadi, Rodrigo Santoro, Jack Huston, Toby Kebbell"
516,Nerve (2016),Henry Joost,"Emily Meade, Emma Roberts, Miles Heizer, Dave Franco"
517,Leap! (2016),Eric Summer,"Carly Rae Jepsen, Elle Fanning, Maddie Ziegler, Dane DeHaan"
518,Manchester by the Sea (2016),Kenneth Lonergan,"Kyle Chandler, Michelle Williams, Casey Affleck, Lucas Hedges"
519,Kubo and the Two Strings (2016),Travis Knight,"Charlize Theron, Matthew McConaughey, Ralph Fiennes, Art Parkinson"
520,I Am Not Madame Bovary (2016),Xiaogang Feng,"Xiaogang Feng, Wei Fan, Chengpeng Dong, Bingbing Fan"
521,One Piece Film: Gold (2016),Hiroaki Miyamoto,"Kappei Yamaguchi, Kazuya Nakai, Mayumi Tanaka, Akemi Okamura"
522,Huo guo ying xiong (2016),Qing Yang,"Entai Yu, Hao Qin, Baihe Bai, Kun Chen"
523,Patriots Day (2016),Peter Berg,"Michelle Monaghan, J.K. Simmons, Mark Wahlberg, John Goodman"
524,So Young 2: Never Gone (2016),Zhou Tuo Ru,"Kris Wu, Qin Li, Kim Scar, Yifei Liu"
525,A Monster Calls (2016),J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell"
526,Eddie the Eagle (2015),Dexter Fletcher,"Jo Hartley, Tom Costello, Taron Egerton, Hugh Jackman"
527,League of Gods (2016),Koan Hui,"Xiaoming Huang, Zhang Wen, Bingbing Fan, Jet Li"
528,The Wild Life (2016),Vincent Kesteloot,"Ilka Bessin, Kaya Yanar, Matthias Schweighöfer, Dieter Hallervorden"
529,"Crouching Tiger, Hidden Dragon: Sword of Destiny (2016)",Woo-Ping Yuen,"Donnie Yen, Harry Shum Jr., Michelle Yeoh, Natasha Liu Bordizzo"
530,Eye in the Sky (2015),Gavin Hood,"Barkhad Abdi, Alan Rickman, Aaron Paul, Helen Mirren"
531,Billy Lynn's Long Halftime Walk (2016),Ang Lee,"Arturo Castro, Garrett Hedlund, Mason Lee, Joe Alwyn"
532,A Silent Voice: The Movie (2016),Naoko Yamada,"Miyu Irino, Aoi Yûki, Kenshô Ono, Saori Hayami"
533,Keeping Up with the Joneses (2016),Greg Mottola,"Isla Fisher, Gal Gadot, Zach Galifianakis, Jon Hamm"
534,Fan (2016),Maneesh Sharma,"Shriya Pilgaonkar, Carolina Main, Sayani Gupta, Shah Rukh Khan"
535,Mr. Donkey (2016),Lu Liu,"Li Da, Suxi Ren, Shuailiang Liu, Kuishan Pei"
536,Born in China (2016),Chuan Lu,"Claire Keim, Xun Zhou, John Krasinski"
537,The Snow Queen 3: Fire and Ice (2016),Aleksey Tsitsilin,"Nikolay Bystrov, Natalya Bystrova, Filipp Lebedev, Diomid Vinogradov"
538,Jackie (2016),Pablo Larraín,"Greta Gerwig, Peter Sarsgaard, Billy Crudup, Natalie Portman"
539,Triple 9 (2016),John Hillcoat,"Anthony Mackie, Casey Affleck, Chiwetel Ejiofor, Aaron Paul"
540,Rock Dog (2016),Ash Brannon,"Lewis Black, J.K. Simmons, Eddie Izzard, Luke Wilson"
541,Cock and Bull (2016),Baoping Cao,"Ziwen Wang, Bowen Duan, Yi Zhang, Ye Liu"
542,The Wasted Times (2016),Er Cheng,"Chun Du, Tadanobu Asano, Ziyi Zhang, You Ge"
543,Sword Master (2016),Tung-Shing Yee,"Kenny Lin, Yiyan Jiang, Mengjie Jiang, Peter Ho"
544,Phantom of the Theatre (2016),Wai-Man Yip,"Simon Yam, Gangshan Jing, Ruby Lin, Tony Yo-ning Yang"
545,Ratchet & Clank (2016),Kevin Munroe,"Sylvester Stallone, David Kaye, Jim Ward, James Arnold Taylor"
546,I Married an Anti,Jae-Young Kim,"Seohyun, Chao Jiang, Shanshan Yuan, Chan-Yeol Park"
547,The New Year's Eve of Old Lee (2016),Qunshu Gao,"Zongxiang Guan, Chengpeng Dong, Taishen Cheng, Ming Hu"
548,For a Few Bullets (2016),Anzi Pan,"Kenny Lin, Vivian Dawson, Xiaoqing Liu, Jingchu Zhang"
549,Pele: Birth of a Legend (2016),Jeff Zimbalist,"Seu Jorge, ""Vincent DOnofrio"", Diego Boneta, Rodrigo Santoro"
550,Genius (2016),Michael Grandage,"Laura Linney, Jude Law, Colin Firth, Nicole Kidman"
551,Collide (2016),Eran Creevy,"Nicholas Hoult, Anthony Hopkins, Ben Kingsley, Felicity Jones"
552,Max Steel (2016),Stewart Hendler,"Andy Garcia, Maria Bello, Ben Winchell, Josh Brener"
553,Kingsglaive: Final Fantasy XV (2016),Takeshi Nozue,"Neil Newbon, Lena Headey, Sean Bean, Aaron Paul"
554,My Best Friend's Wedding (2016),Feihong Chen,"Victoria Song, Rhydian Vaughan, Qi Shu, Shaofeng Feng"
555,Sky on fire (2016),Ringo Lam,"Hsiao-chuan Chang, Ruoyun Zhang, Jingchu Zhang, Daniel Wu"
556,"New York, New York (2016)",Dong Luo,"Ethan Juan, Juan Du, Cecilia Yip, Kiu Wai Miu"
557,Papa (2016),Xiao Zheng,"Yu Xia, Zi Yang, David Wu, Zuer Song"
558,Kaili Blues (2015),Bi Gan,"Feiyang Luo, Yongzhong Chen, Linyan Liu, Yue Guo"
559,Tharlo (2015),Pema Tseden,"Yangshik Tso, Jinpa, Shide Nyima, Tsemdo Thar"
560,Star Wars: Episode VIII,Rian Johnson,"Carrie Fisher, Daisy Ridley, Mark Hamill, John Boyega"
561,The Fate of the Furious (2017),F. Gary Gray,"Michelle Rodriguez, Dwayne Johnson, Jason Statham, Vin Diesel"
562,Despicable Me 3 (2017),Kyle Balda,"Miranda Cosgrove, Steve Carell, Kristen Wiig, Trey Parker"
563,Jumanji: Welcome to the Jungle (2017),Jake Kasdan,"Jack Black, Karen Gillan, Kevin Hart, Dwayne Johnson"
564,Spider,Jon Watts,"Marisa Tomei, Robert Downey Jr., Tom Holland, Michael Keaton"
565,Wolf Warrior 2 (2017),Jing Wu,"Frank Grillo, Jing Wu, Gang Wu, Celina Jade"
566,Guardians of the Galaxy Vol. 2 (2017),James Gunn,"Dave Bautista, Zoe Saldana, Chris Pratt, Vin Diesel"
567,Thor: Ragnarok (2017),Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Mark Ruffalo, Cate Blanchett"
568,Wonder Woman (2017),Patty Jenkins,"Chris Pine, Robin Wright, Gal Gadot, Lucy Davis"
569,Coco (2017),Lee Unkrich,"Benjamin Bratt, Alanna Ubach, Gael García Bernal, Anthony Gonzalez"
570,Pirates of the Caribbean: Dead Men Tell No Tales (2017),Joachim Rønning,"Javier Bardem, Orlando Bloom, Johnny Depp, Geoffrey Rush"
571,Justice League (2017),Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
572,Transformers: The Last Knight (2017),Michael Bay,"Josh Duhamel, Mark Wahlberg, Laura Haddock, Anthony Hopkins"
573,Kong: Skull Island (2017),Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
574,Dunkirk (2017),Christopher Nolan,"Mark Rylance, Tom Hardy, Fionn Whitehead, Barry Keoghan"
575,War for the Planet of the Apes (2017),Matt Reeves,"Andy Serkis, Karin Konoval, Steve Zahn, Woody Harrelson"
576,The Greatest Showman (2017),Michael Gracey,"Zendaya, Michelle Williams, Zac Efron, Hugh Jackman"
577,Kingsman: The Golden Circle (2017),Matthew Vaughn,"Channing Tatum, Colin Firth, Mark Strong, Taron Egerton"
578,The Mummy (2017),Alex Kurtzman,"Annabelle Wallis, Russell Crowe, Tom Cruise, Sofia Boutella"
579,Cars 3 (2017),Brian Fee,"Nathan Fillion, Owen Wilson, Cristela Alonzo, Chris Cooper"
580,Murder on the Orient Express (2017),Kenneth Branagh,"Penélope Cruz, Kenneth Branagh, Willem Dafoe, Judi Dench"
581,xXx: Return of Xander Cage (2017),D.J. Caruso,"Donnie Yen, Deepika Padukone, Kris Wu, Vin Diesel"
582,The Lego Batman Movie (2017),Chris McKay,"Will Arnett, Ralph Fiennes, Rosario Dawson, Michael Cera"
583,The Ex,Yu-sheng Tian,"Geng Han, Mengxue Zeng, Wenwen Yu, Ryan Zheng"
584,Wonder (2017),Stephen Chbosky,"Owen Wilson, Julia Roberts, Izabela Vidovic, Jacob Tremblay"
585,Ferdinand (2017),Carlos Saldanha,"Bobby Cannavale, Jack Gore, Kate McKinnon, John Cena"
586,Blade Runner 2049 (2017),Denis Villeneuve,"Ryan Gosling, Dave Bautista, Harrison Ford, Ana de Armas"
587,Kung Fu Yoga (2017),Stanley Tong,"Miya Muqi, Jackie Chan, Yixing Zhang, Disha Patani"
588,Baahubali 2: The Conclusion (2017),S.S. Rajamouli,"Tamannaah Bhatia, Prabhas, Rana Daggubati, Anushka Shetty"
589,Journey to the West: The Demons Strike Back (2017),Hark Tsui,"Kenny Lin, Chen Yao, Kris Wu, Yun Lin"
590,Alien: Covenant (2017),Ridley Scott,"Katherine Waterston, Billy Crudup, Michael Fassbender, Danny McBride"
591,Paddington 2 (2017),Paul King,"Hugh Bonneville, Sally Hawkins, Hugh Grant, Ben Whishaw"
592,Baby Driver (2017),Edgar Wright,"Eiza González, Ansel Elgort, Jon Bernthal, Jon Hamm"
593,Valerian and the City of a Thousand Planets (2017),Luc Besson,"Cara Delevingne, Clive Owen, Dane DeHaan, Rihanna"
594,Geostorm (2017),Dean Devlin,"Alexandra Maria Lara, Abbie Cornish, Jim Sturgess, Gerard Butler"
595,A Dog's Purpose (2017),Lasse Hallström,"Peggy Lipton, Josh Gad, Bryce Gheisar, Dennis Quaid"
596,Smurfs: The Lost Village (2017),Kelly Asbury,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer"
597,The Shape of Water (2017),Guillermo del Toro,"Sally Hawkins, Doug Jones, Michael Shannon, Octavia Spencer"
598,The Hitman's Bodyguard (2017),Patrick Hughes,"Samuel L. Jackson, Ryan Reynolds, Elodie Yung, Gary Oldman"
599,Ghost in the Shell (2017),Rupert Sanders,"Juliette Binoche, Scarlett Johansson, Takeshi Kitano, Pilou Asbæk"
600,"Three Billboards Outside Ebbing, Missouri (2017)",Martin McDonagh,"Caleb Landry Jones, Frances McDormand, Sam Rockwell, Woody Harrelson"
601,Duckweed (2017),Han Han,"Eddie Peng, Chao Deng, Zijian Dong, Zanilia Zhao"
602,Darkest Hour (2017),Joe Wright,"Ben Mendelsohn, Lily James, Gary Oldman, Kristin Scott Thomas"
603,King Arthur: Legend of the Sword (2017),Guy Ritchie,"Astrid Bergès-Frisbey, Jude Law, Charlie Hunnam, Djimon Hounsou"
604,The Foreigner (2017),Martin Campbell,"Katie Leung, Jackie Chan, Mark Tandy, Rufus Jones"
605,Power Rangers (2017),Dean Israelite,"Ludi Lin, Dacre Montgomery, RJ Cyler, Naomi Scott"
606,Happy Death Day (2017),Christopher Landon,"Charles Aitken, Israel Broussard, Ruby Modine, Jessica Rothe"
607,Secret Superstar (2017),Advait Chandan,"Zaira Wasim, Aamir Khan, Meher Vij, Raj Arjun"
608,The Commuter (2018),Jaume Collet-Serra,"Vera Farmiga, Jonathan Banks, Patrick Wilson, Liam Neeson"
609,Buddies in India (2017),Baoqiang Wang,"Yan Liu, Baoqiang Wang, Vikramjeet Virk, Bai-Ke"
610,Chasing the Dragon (2017),Jason Kwan,"Philip Keung, Andy Lau, Donnie Yen, Wilfred Lau"
611,Once Upon A Time (2017),Anthony LaMolinara,"Jin Luo, Yang Yang, Chun Li, Yifei Liu"
612,47 Meters Down (2017),Johannes Roberts,"Mandy Moore, Matthew Modine, Chris Johnson, Claire Holt"
613,My Little Pony: The Movie (2017),Jayson Thiessen,"Emily Blunt, Kristin Chenoweth, Liev Schreiber, Michael Peña"
614,The Devotion of Suspect X (2017),Alec Su,"Kai Wang, Luyi Zhang, Ruby Lin, Zuxin Ye"
615,Shock Wave (2017),Herman Yau,"Philip Keung, Jia Song, Andy Lau, Wu Jiang"
616,Goldbuster (2017),Sandra Kwan Yue Ng,"Alex Fong, Sandra Kwan Yue Ng, Yi Zhang, Francis Ng"
617,All the Money in the World (2017),Ridley Scott,"Romain Duris, Christopher Plummer, Michelle Williams, Mark Wahlberg"
618,Son of Bigfoot (2017),Jeremy Degruson,"Cinda Adams, John Allsopp, Mari Devon, Kirk Thornton"
619,The Thousand Faces of Dunjia (2017),Woo-Ping Yuen,"Aarif Rahman, Dongyu Zhou, Chengpeng Dong, Ni Ni"
620,Battle of Memories (2017),Leste Chen,"Zishan Yang, Yihong Duan, Bo Huang, Jinglei Xu"
621,Loving Vincent (2017),Dorota Kobiela,"Jerome Flynn, Robert Gulaczyk, Douglas Booth, Helen McCrory"
622,Mary and the Witch's Flower (2017),Hiromasa Yonebayashi,"Ryûnosuke Kamiki, Hana Sugisaki, Fumiyo Kohinata, Yûki Amami"
623,Brotherhood of Blades 2 (2017),Yang Lu,"Mi Yang, Shih-Chieh King, Yi Zhang, Chen Chang"
624,The Adventurers (2017),Stephen Fung,"Andy Lau, Qi Shu, Jingchu Zhang, Tony Yo-ning Yang"
625,Namiya (2017),Jie Han,"Jackie Chan, Dilraba Dilmurat, Zijian Dong, Duling Chen"
626,I Want to Eat Your Pancreas (2018),Shin'ichirô Ushijima,"Yukiyo Fujii, Mahiro Takasugi, Lynn, Yuma Uchida"
